file	qid	designer	link	designer2
پدر (پوستر).jpg	Q119704	محمدعلی باطنی		
پرواز خاموش (پوستر ۱).jpg	Q14755991	-		
پرواز خاموش (پوستر ۲).jpg	Q14755991	-		
پسر مریم (پوستر).jpg	Q14755992	عسل شاکری		
پشت پرده مه (پوستر).jpg	Q5683844	حیدر رضایی		
پشت دیوار شهر (پوستر).jpg	Q14756028	-		
تا آخرین نفس (پوستر).jpg	Q14756155	ژوبین		
تخته سیاه (پوستر ۱).jpg	Q2399461	-		
تخته سیاه (پوستر ۲).jpg	Q2399461	-		
تردست (پوستر).jpg	Q5824544	جواد آتشباری		
ترور (پوستر).jpg	Q14756031	محمدعلی باطنی		
تعطیلات تابستانی (پوستر).jpg	Q14756112	حیدر رضایی		
تقاطع (پوستر).jpg	Q3513830	احسان زاوشی		
تکیه بر باد (پوستر ۲).jpg	Q14756657	-		
تکیه بر باد (پوستر).jpg	Q14756657	بهزاد خورشیدی		
تله (پوستر ۱).jpg	Q5781420	بهزاد خورشیدی		
تله (پوستر ۲).jpg	Q5781420	بهزاد خورشیدی		
تله (پوستر ۳).jpg	Q5781420	بهزاد خورشیدی		
تنبل قهرمان (پوستر).jpg	Q5931981	-		
تو آزادی (پوستر).jpg	Q14755918	یونسی مجرد (عصر جدید)		
توطئه (پوستر).jpg	Q14756115	محمدعلی باطنی		
تولد یک پروانه (پوستر ۱).jpg	Q5709482	رساگراف		
تولد یک پروانه (پوستر ۲).jpg	Q5709482	علی وزیریان		
جایی برای زندگی (پوستر).jpg	Q5939133	بهزاد خورشیدی		بابک برزویه (عکاس)
جایی در دور دست (پوستر).jpg	Q14755672	بهزاد خورشیدی		
جایی دیگر (پوستر ۱).jpg	Q14755835	سندباد مدیا		
جایی دیگر (پوستر ۲).jpg	Q14755835	-		
جایی دیگر (پوستر ۳).jpg	Q14755835	سندباد مدیا		
جمعه (پوستر).jpg	Q14756693	ف هوشیار		
جنگجوی پیروز (پوستر).jpg	Q14755189	حیدر رضایی		
جهان پهلوان تختی - گزارشی از یک جنایت (پوستر).jpg	Q5949120	مصطفی شایسته		عباس بنائی
جهنم سبز (پوستر).jpg	Q14756116	محمدعلی باطنی		
جوجه اردک من (پوستر).jpg	Q14755836	امیر خوب‌بخت		
چپ‌دست (پوستر).jpg	Q5938720	پیام سنماری		
چشم عقاب (پوستر).jpg	Q14755188	محمدعلی باطنی		
